Date,Location,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,RainToday,RainTomorrow
12/1/2008,Albury,13.4,22.9,0.6,44,20,24,71,22,1007.7,1007.1,No,No
12/2/2008,Albury,7.4,25.1,0,44,4,22,44,25,1010.6,1007.8,No,No
12/3/2008,Albury,12.9,25.7,0,46,19,26,38,30,1007.6,1008.7,No,No
12/4/2008,Albury,9.2,28,0,24,11,9,45,16,1017.6,1012.8,No,No
12/5/2008,Albury,17.5,32.3,1,41,7,20,82,33,1010.8,1006,No,No
12/6/2008,Albury,14.6,29.7,0.2,56,19,24,55,23,1009.2,1005.4,No,No
12/7/2008,Albury,14.3,25,0,50,20,24,49,19,1009.6,1008.2,No,No
12/8/2008,Albury,7.7,26.7,0,35,6,17,48,19,1013.4,1010.1,No,No
12/9/2008,Albury,9.7,31.9,0,80,7,28,42,9,1008.9,1003.6,No,Yes
12/10/2008,Albury,13.1,30.1,1.4,28,15,11,58,27,1007,1005.7,Yes,No
12/11/2008,Albury,13.4,30.4,0,30,17,6,48,22,1011.8,1008.7,No,Yes
12/12/2008,Albury,15.9,21.7,2.2,31,15,13,89,91,1010.5,1004.2,Yes,Yes
12/13/2008,Albury,15.9,18.6,15.6,61,28,28,76,93,994.3,993,Yes,Yes
12/14/2008,Albury,12.6,21,3.6,44,24,20,65,43,1001.2,1001.8,Yes,No
12/17/2008,Albury,14.1,20.9,0,22,11,9,69,82,1012.2,1010.4,No,Yes
12/18/2008,Albury,13.5,22.9,16.8,63,6,20,80,65,1005.8,1002.2,Yes,Yes
12/19/2008,Albury,11.2,22.5,10.6,43,24,17,47,32,1009.4,1009.7,Yes,No
12/20/2008,Albury,9.8,25.6,0,26,17,6,45,26,1019.2,1017.1,No,No
12/21/2008,Albury,11.5,29.3,0,24,9,9,56,28,1019.3,1014.8,No,No
12/22/2008,Albury,17.1,33,0,43,17,22,38,28,1013.6,1008.1,No,No
12/23/2008,Albury,20.5,31.8,0,41,19,20,54,24,1007.8,1005.7,No,No
12/24/2008,Albury,15.3,30.9,0,33,6,13,55,23,1011,1008.2,No,No
12/25/2008,Albury,12.6,32.4,0,43,4,19,49,17,1012.9,1010.1,No,No
12/26/2008,Albury,16.2,33.9,0,35,9,13,45,19,1010.9,1007.6,No,No
12/27/2008,Albury,16.9,33,0,57,0,26,41,28,1006.8,1003.6,No,No
12/28/2008,Albury,20.1,32.7,0,48,13,30,56,15,1005.2,1001.7,No,No
12/29/2008,Albury,19.7,27.2,0,46,19,30,49,22,1004.8,1004.2,No,Yes
12/30/2008,Albury,12.5,24.2,1.2,50,11,22,78,70,1005.6,1003.4,Yes,No
12/31/2008,Albury,12,24.4,0.8,39,17,17,48,28,1006.1,1005.1,No,No
1/1/2009,Albury,11.3,26.5,0,56,19,31,46,26,1004.5,1003.2,No,No
1/2/2009,Albury,9.6,23.9,0,41,19,11,44,22,1014.4,1013.1,No,No
1/3/2009,Albury,10.5,28.8,0,26,11,7,43,22,1018.7,1014.8,No,No
1/4/2009,Albury,12.3,34.6,0,37,6,17,41,12,1015.1,1010.3,No,No
1/5/2009,Albury,12.9,35.8,0,41,6,26,41,9,1012.6,1009.2,No,No
1/6/2009,Albury,13.7,37.9,0,52,4,26,33,8,1010.9,1006.7,No,No
1/7/2009,Albury,16.1,38.9,0,57,6,30,34,12,1007,1002.7,No,No
1/8/2009,Albury,14,28.3,0,48,17,24,43,15,1011.9,1010.9,No,No
1/9/2009,Albury,12.5,28.4,0,37,20,9,38,16,1017.8,1013.7,No,No
1/10/2009,Albury,17,30.8,0,37,15,11,36,24,1013.4,1008.1,No,No
1/11/2009,Albury,16.9,32,0,31,13,17,52,31,1009.9,1006.8,No,No
1/12/2009,Albury,17.3,34.7,0,35,7,15,48,16,1014.1,1012.1,No,No
1/13/2009,Albury,17.2,37.7,0,35,7,17,51,19,1015.7,1010.9,No,No
1/14/2009,Albury,17.4,43,0,39,7,17,40,8,1011.6,1006.9,No,No
1/15/2009,Albury,19.8,32.7,0,44,20,28,34,28,1008.4,1009.2,No,No
1/16/2009,Albury,14.9,26.7,0,56,20,31,46,20,1014.1,1012.7,No,No
1/17/2009,Albury,10.5,28.4,0,33,19,11,35,16,1019.7,1017.4,No,No
1/18/2009,Albury,11.3,32.2,0,28,17,15,34,17,1019.7,1016.2,No,No
1/19/2009,Albury,13.9,36.6,0,39,2,15,39,10,1015.8,1010.6,No,No
1/20/2009,Albury,18.6,39.9,0,61,9,20,36,21,1010.1,1004.8,No,No
1/21/2009,Albury,19.3,38.1,0.8,61,15,17,48,17,1009.6,1005.9,No,No
1/22/2009,Albury,24.4,34,0.6,98,26,48,60,39,1005.3,997.8,No,Yes
1/23/2009,Albury,18.8,35.2,6.4,52,6,28,43,28,1007.9,1003.9,Yes,No
1/24/2009,Albury,20.8,30.6,0,54,30,28,41,21,1005.4,1007.6,No,No
1/25/2009,Albury,14,34.3,0,24,7,13,44,10,1016.5,1014.6,No,No
1/26/2009,Albury,15.7,38.4,0,33,7,7,48,12,1017.7,1014.6,No,No
1/27/2009,Albury,18.5,38.2,0,31,9,17,48,25,1017.8,1014.1,No,No
1/28/2009,Albury,20.4,40.7,0,37,7,13,45,15,1014.9,1011.6,No,No
1/29/2009,Albury,21.8,41.5,0,24,6,11,38,13,1015.7,1011.8,No,No
1/30/2009,Albury,22.3,42.9,0,28,9,11,37,11,1014.6,1010.2,No,No
1/31/2009,Albury,22,42.7,0,48,4,4,33,11,1014.2,1010.5,No,No
2/1/2009,Albury,28,43.1,0,83,15,9,27,9,1012.5,1008.7,No,No
2/2/2009,Albury,24.4,38.3,0.2,56,19,7,32,21,1011.7,1007.4,No,No
2/5/2009,Albury,21.5,41.2,0,35,7,19,48,15,1005.9,1002.6,No,No
2/6/2009,Albury,23.5,42.2,0,37,6,15,39,8,1008,1005,No,No
2/7/2009,Albury,22.3,44.8,0,59,9,33,36,11,1008.2,1003.8,No,No
2/8/2009,Albury,28.3,40.2,0,52,9,22,20,19,1007,1006.5,No,No
2/9/2009,Albury,18.4,31.2,0.4,37,7,11,66,31,1009.3,1007.8,No,No
2/10/2009,Albury,14.9,27.3,0,41,20,13,50,30,1011.6,1008.5,No,No
2/11/2009,Albury,13.5,26.7,0,46,19,11,45,24,1012.8,1011.1,No,No
2/12/2009,Albury,16.1,21.6,0,46,11,15,58,69,1017,1017.3,No,Yes
2/13/2009,Albury,14.6,29,3,41,26,24,41,21,1023.3,1019.7,Yes,No
2/14/2009,Albury,12.4,29.2,0,39,7,0,37,18,1022.5,1016.4,No,No
2/15/2009,Albury,13.3,31.3,0,41,7,15,50,23,1016.2,1012.8,No,No
2/16/2009,Albury,17.2,31.1,0,35,17,11,43,22,1017.7,1013.8,No,No
2/17/2009,Albury,12.5,28.8,0,31,7,11,46,17,1017.2,1013.5,No,No
2/18/2009,Albury,18,32,0,31,4,13,44,22,1012.4,1007.5,No,No
2/19/2009,Albury,16.2,34,0,48,4,22,53,16,1007.8,1004.5,No,No
2/20/2009,Albury,18.7,29.1,0,41,7,17,45,39,1010.1,1010.8,No,No
2/21/2009,Albury,13.7,31.7,0,28,2,9,63,19,1012.5,1010.4,No,No
2/22/2009,Albury,15.5,33.2,0,31,11,15,49,23,1015.6,1012.4,No,No
2/23/2009,Albury,14.3,34,0,70,6,22,48,10,1013,1009.2,No,No
2/24/2009,Albury,12.9,29.6,0,46,7,24,54,14,1014,1012.7,No,No
2/25/2009,Albury,8.9,31.9,0,43,0,17,49,16,1016.6,1013.4,No,No
2/26/2009,Albury,15,32.7,0,26,15,2,43,19,1017.8,1015,No,No
2/27/2009,Albury,15.4,32.6,0,24,0,6,53,25,1016.2,1012.6,No,No
3/1/2009,Albury,12.8,30.3,0,30,4,13,53,27,1010.5,1008.7,No,No
3/2/2009,Albury,13.2,31.9,0,35,6,9,53,25,1014.1,1011.6,No,No
3/3/2009,Albury,18,31.1,0,52,15,26,58,35,1014.7,1009,No,No
3/4/2009,Albury,13.8,22.1,0.2,57,26,33,57,26,1014.5,1013.1,No,No
3/5/2009,Albury,11.5,22,0,50,19,33,60,33,1013.7,1011.8,No,No
3/6/2009,Albury,7.6,24,0,30,0,13,52,23,1014.5,1012,No,No
3/7/2009,Albury,8.3,27.9,0,37,4,20,58,22,1015.2,1012.4,No,No
3/8/2009,Albury,11,30.2,0,24,7,11,54,20,1017,1014.7,No,No
3/9/2009,Albury,13.8,31.8,0,24,6,17,49,28,1019.7,1015.9,No,No
3/10/2009,Albury,15.5,32,0,50,2,4,51,25,1019.5,1016.2,No,Yes
3/11/2009,Albury,18.4,30.5,1.2,44,15,19,57,23,1021.3,1018,Yes,No
3/12/2009,Albury,20.9,25.7,0,37,11,9,52,90,1019.5,1018.9,No,Yes
3/13/2009,Albury,17.1,25.8,5.8,31,0,13,82,68,1017.4,1014.7,Yes,Yes
3/14/2009,Albury,16.4,27,3,69,9,22,82,74,1012.7,1008,Yes,Yes
3/15/2009,Albury,10,19.7,11.6,39,11,17,62,41,1013.4,1012,Yes,No
3/16/2009,Albury,8.8,21.9,0,39,2,20,78,34,1013.3,1011.6,No,No
3/17/2009,Albury,8.4,25.3,0,35,9,17,78,34,1015.6,1013.2,No,No
3/18/2009,Albury,9.3,28,0,52,6,11,76,19,1017.4,1013.9,No,No
3/19/2009,Albury,11.3,30.1,0,24,6,7,56,15,1016.3,1013.6,No,No
3/20/2009,Albury,11.5,33.5,0,22,7,7,50,13,1016.5,1013.6,No,No
3/21/2009,Albury,13.8,33.6,0,28,0,11,47,17,1017,1013.1,No,No
3/22/2009,Albury,14.6,30,0,37,4,19,56,30,1014.8,1012.7,No,No
3/23/2009,Albury,14.4,31.6,0,37,0,24,63,25,1013.7,1011.8,No,No
3/24/2009,Albury,10.8,31.9,0,48,6,20,62,20,1016.5,1014.4,No,No
3/25/2009,Albury,15.4,22.3,0.4,30,11,9,69,78,1017.4,1019.2,No,Yes
3/26/2009,Albury,13.3,29.8,1.8,33,0,20,87,26,1019.1,1017.2,Yes,No
3/27/2009,Albury,10.1,27.6,0,43,0,11,63,30,1023,1020.7,No,No
3/28/2009,Albury,9.1,28.9,0,24,2,17,60,26,1023.8,1020.6,No,No
3/29/2009,Albury,10.4,31.2,0,22,0,6,60,18,1022.4,1019.1,No,No
3/30/2009,Albury,13.4,30.4,0,22,0,9,57,16,1023,1019.5,No,No
3/31/2009,Albury,12.3,29.9,0,26,2,13,61,25,1023.2,1019.5,No,No
4/1/2009,Albury,12.2,30.6,0,22,0,6,59,22,1022.6,1019.4,No,No
4/2/2009,Albury,14.3,32.1,0,28,0,11,59,30,1022.6,1018.4,No,Yes
4/3/2009,Albury,18.4,28.1,8.6,98,7,17,92,49,1018.8,1012.9,Yes,Yes
4/4/2009,Albury,10.7,21.4,12.6,43,0,13,60,33,1019.8,1019.3,Yes,No
4/5/2009,Albury,7.8,21.7,0,31,6,19,72,37,1020.4,1016.5,No,No
4/6/2009,Albury,8.1,21.4,0,35,13,19,58,20,1021.8,1019.6,No,No
4/7/2009,Albury,7.5,22.5,0,28,7,7,55,27,1026.7,1023.5,No,No
4/8/2009,Albury,8.2,24,0,17,7,13,60,30,1027.1,1023.4,No,No
4/9/2009,Albury,8.1,25.7,0,22,9,13,67,27,1024.2,1019.6,No,No
4/10/2009,Albury,11.6,26.7,0,48,6,11,59,42,1021.5,1017.7,No,Yes
4/11/2009,Albury,13,24.9,8.4,46,6,11,75,47,1024.4,1020.3,Yes,Yes
4/12/2009,Albury,13.5,24.2,6.2,20,0,6,88,52,1024.1,1020.8,Yes,No
4/13/2009,Albury,9.9,25.4,0,19,4,7,65,35,1023,1018.7,No,No
4/14/2009,Albury,12.2,25,0,30,0,15,68,39,1016.3,1011.6,No,No
4/15/2009,Albury,10.7,21.9,0,63,26,31,44,27,1008.2,1009.8,No,No
4/16/2009,Albury,3.5,20,0,31,0,13,65,30,1016.3,1012.8,No,No
4/17/2009,Albury,6.6,21.6,0,26,6,11,59,39,1018.5,1016.8,No,No
4/18/2009,Albury,7,23.4,0,24,2,17,73,37,1022.8,1019.3,No,No
4/19/2009,Albury,11.2,23.9,0,31,13,15,54,33,1022.7,1019.6,No,No
4/20/2009,Albury,7.4,22,0,28,2,7,58,29,1023.6,1020,No,No
4/21/2009,Albury,5.7,21.4,0,17,6,7,68,39,1025.2,1020.9,No,No
4/22/2009,Albury,6.2,22.7,0,17,0,7,73,33,1026,1021.6,No,No
4/23/2009,Albury,6,22.9,0,33,0,20,68,34,1021.3,1015.7,No,No
4/24/2009,Albury,10.6,16.2,0,39,7,4,74,86,1008.9,1002.4,No,Yes
4/25/2009,Albury,12.9,15.8,20,70,19,15,83,89,1004.8,1000.9,Yes,Yes
4/26/2009,Albury,8.6,12.9,21,63,26,31,77,62,1004,1003.3,Yes,Yes
4/27/2009,Albury,4.5,11.5,3.2,26,9,13,82,79,1013.8,1013.5,Yes,Yes
4/28/2009,Albury,7.6,14.5,4.8,35,15,20,83,48,1018,1018.3,Yes,No
4/29/2009,Albury,5.4,12.2,0,19,9,7,62,46,1023.1,1020.9,No,No
4/30/2009,Albury,2.1,16.5,0,19,0,7,70,38,1023.4,1021.5,No,No
5/1/2009,Albury,1.8,17,0,19,0,7,77,44,1026,1023.2,No,No
5/2/2009,Albury,7.2,19.2,0,22,7,6,81,49,1026.9,1024,No,No
5/3/2009,Albury,4.6,18.9,0,15,4,7,75,51,1028.7,1025.9,No,No
5/4/2009,Albury,4.2,19.1,0,19,6,13,86,44,1029.8,1027.3,No,No
5/5/2009,Albury,5.2,18.8,0,15,0,7,71,47,1031.4,1028.1,No,No
5/6/2009,Albury,4.1,19.3,0,20,6,7,82,49,1028.5,1024.6,No,No
5/7/2009,Albury,3.2,18.4,0,20,6,11,86,49,1026.2,1023.6,No,No
5/8/2009,Albury,4.3,19,0,15,0,9,68,36,1028.8,1025.8,No,No
5/9/2009,Albury,3.7,20.5,0,17,0,7,78,45,1026,1021.8,No,No
5/10/2009,Albury,5.4,19.5,0,17,0,7,69,40,1025.1,1022.3,No,No
5/11/2009,Albury,4.3,17.7,0,15,6,7,89,53,1025.6,1022.2,No,No
5/12/2009,Albury,3.6,18.5,0,26,4,17,81,49,1022.3,1018.5,No,No
5/13/2009,Albury,3.6,15.1,0,28,4,17,86,61,1018.4,1015.7,No,No
5/14/2009,Albury,6.9,16.3,0,35,17,19,77,59,1015.3,1013.1,No,No
5/15/2009,Albury,10.3,16.6,0,54,13,19,82,63,1015,1011,No,Yes
5/16/2009,Albury,12.4,16.4,1.8,52,22,24,82,54,1011.8,1013.4,Yes,No
5/17/2009,Albury,3,15.6,0,20,6,9,83,61,1022.5,1019.3,No,No
5/18/2009,Albury,2.6,19.7,0,13,0,4,82,34,1024.7,1021.2,No,No
5/19/2009,Albury,3.7,19.1,0,19,0,11,87,51,1023.6,1019.9,No,No
5/20/2009,Albury,5.1,18.6,0,13,2,9,75,57,1022.8,1020.5,No,No
5/21/2009,Albury,4.4,19.8,0,20,0,7,81,48,1025.2,1022.3,No,No
5/22/2009,Albury,4.7,19.8,0,24,4,19,75,43,1025.2,1021.4,No,No
5/23/2009,Albury,6.2,22.9,0,30,6,9,71,37,1022.2,1019.4,No,No
5/24/2009,Albury,6.7,21.1,0,20,0,11,69,43,1025,1022.1,No,No
5/25/2009,Albury,9.3,20.3,0,31,9,22,77,50,1024.6,1019.7,No,Yes
5/26/2009,Albury,11.6,18.1,4.2,19,2,6,97,74,1021.4,1019.2,Yes,No
5/27/2009,Albury,8,16.2,0.8,20,0,11,99,58,1021.7,1019.3,No,No
5/28/2009,Albury,2.6,15.7,0,13,0,2,91,48,1023.4,1021.6,No,No
5/29/2009,Albury,2.2,16.5,0,33,0,19,67,44,1025.6,1024,No,No
5/30/2009,Albury,2.2,16.8,0,26,0,15,65,44,1030.3,1028.5,No,No
5/31/2009,Albury,1.7,17.1,0,44,0,9,73,46,1034.1,1029.9,No,Yes
6/1/2009,Albury,8,14.3,1.2,13,0,0,88,75,1031.9,1029.2,Yes,Yes
6/2/2009,Albury,8.4,13.4,1.4,13,0,7,78,75,1029.3,1026.2,Yes,Yes
6/3/2009,Albury,10.6,14.3,4.8,13,6,9,85,97,1023.5,1020.4,Yes,Yes
6/4/2009,Albury,8.9,17.4,8,13,2,4,99,58,1021,1017.5,Yes,No
6/5/2009,Albury,2.8,16.1,0,20,4,11,86,57,1017.9,1015.1,No,No
6/6/2009,Albury,1.7,10.5,0.2,11,4,0,99,91,1015.2,1011.1,No,Yes
6/7/2009,Albury,4.7,11.6,14.4,30,6,17,93,80,1007.5,1006.3,Yes,Yes
6/8/2009,Albury,9,12,4.6,33,9,26,88,79,1009.6,1008.7,Yes,Yes
6/9/2009,Albury,6.3,8.8,2,43,13,13,92,95,1011.1,1008.3,Yes,Yes
6/10/2009,Albury,3,10.5,5.6,37,15,22,77,56,1017.6,1018.4,Yes,No
6/11/2009,Albury,-2,9.6,0,13,0,6,84,72,1025.1,1023,No,No
6/12/2009,Albury,-1.3,8.2,0,15,6,6,99,72,1025.7,1022.2,No,No
6/13/2009,Albury,1.8,12.4,0,28,4,15,86,60,1018.3,1013,No,No
6/14/2009,Albury,2,15.8,0,24,0,11,82,49,1011.8,1009.3,No,No
6/15/2009,Albury,0.5,14.9,0.4,13,2,0,99,63,1013.9,1012.8,No,No
6/16/2009,Albury,1.2,17.7,0,17,0,6,83,49,1022.3,1022.2,No,No
6/17/2009,Albury,0.6,15.9,0,13,0,2,94,52,1029.7,1027.7,No,No
